"catmat","item_tratado","outcome","doador_catmat","descricao_doador","omega"
445484,"Água mineral sem gás descartável","median_preco","464436","FRUTA, TIPO: TANGERINA PONCAN , APRESENTAÇÃO: NATURAL ",0.0055809861736217
445484,"Água mineral sem gás descartável","median_preco","217777","GELO, MATERIAL: ÁGUA FILTRADA , APRESENTAÇÃO: CUBOS ",0.00120355570664185
445485,"Água mineral sem gás retornável","n_fornecedores","460263","FARINHA DE TRIGO, GRUPO: DOMÉSTICO , TIPO: TIPO 1, ESPECIAL , INGREDIENTE ADICIONAL: FORTIFICADA COM FERRO E ÁCIDO FÓLICO ",0.479565368358136
445485,"Água mineral sem gás retornável","n_fornecedores","464377","FRUTA, TIPO: BANANA DA TERRA / BANANA COMPRIDA , APRESENTAÇÃO: NATURAL ",0.211763394338222
445485,"Água mineral sem gás retornável","n_fornecedores","463822","VERDURA IN NATURA, TIPO: COUVE ",0.209656719062211
445485,"Água mineral sem gás retornável","n_fornecedores","464514","POLPA DE FRUTA, TIPO: GOIABA VERMELHA , APRESENTAÇÃO: CONGELADA ",0.0516045288420525
445485,"Água mineral sem gás retornável","n_fornecedores","447720","EMBUTIDO, TIPO: SALSICHA HOT DOG , TIPO PREPARAÇÃO: COZIDA , ESTADO DE CONSERVAÇÃO: RESFRIADO(A) ",0.0359826564844026
445485,"Água mineral sem gás retornável","n_fornecedores","465332","FARINHA DE TRIGO, GRUPO: INDUSTRIAL , TIPO: TIPO 1, ESPECIAL , INGREDIENTE ADICIONAL: SEM FERMENTO ",0.0114273329149761
445485,"Água mineral sem gás retornável","n_combinacoes_unidade","436134","ADOÇANTE, ASPECTO FÍSICO: LÍQUIDO , INGREDIENTES: SUCRALOSE, ACESULFAME DE POTáSSIO, BENZOATO DE SÓD , TIPO: DIETÉTICO , CARACTERÍSTICAS ADICIONAIS: ACIDULANTE áCIDO CíTRICO,CITRATO DE SÓDIO ",0.454876173580008
445485,"Água mineral sem gás retornável","n_combinacoes_unidade","459645","LEGUME EM CONSERVA, TIPO: AZEITONA PRETA , TAMANHO: GRANDE , APRESENTAÇÃO: SEM CAROÇO ",0.233034049385937
445485,"Água mineral sem gás retornável","n_combinacoes_unidade","446393","MANTEIGA, TIPO: PRIMEIRA QUALIDADE , COMPOSIÇÃO: COM SAL ",0.13558774915614
445485,"Água mineral sem gás retornável","n_combinacoes_unidade","463898","CONDIMENTO, TIPO: HORTELÃ , APRESENTAÇÃO: NATURAL ",0.0969251950112321
445485,"Água mineral sem gás retornável","n_combinacoes_unidade","463906","CONDIMENTO, TIPO: MANJERICÃO , APRESENTAÇÃO: NATURAL ",0.0516447598398565
445485,"Água mineral sem gás retornável","n_combinacoes_unidade","217132","BISCOITO, APRESENTAÇÃO: RETANGULAR , SABOR: MAIZENA , CLASSIFICAÇÃO: DOCE , CARACTERÍSTICAS ADICIONAIS: SEM RECHEIO ",0.0279320730268275
445485,"Água mineral sem gás retornável","median_preco","446617","OVO, ORIGEM: GALINHA , GRUPO: BRANCO , CLASSE: A , TIPO: EXTRA ",0.589433196099947
445485,"Água mineral sem gás retornável","median_preco","463778","LEGUME IN NATURA, TIPO: CHUCHU VERDE ",0.0922851142566607
445485,"Água mineral sem gás retornável","median_preco","470688","FARINHA DE MILHO, GRÃO: AMARELO , TIPO: FUBÁ , CARACTERÍSTICA ADICIONAL: NÃO TRANSGÊNICO ",0.0510205793609667
445485,"Água mineral sem gás retornável","median_preco","463839","VERDURA IN NATURA, TIPO: REPOLHO BRANCO / VERDE ",0.0439636768592369
445485,"Água mineral sem gás retornável","median_preco","467358","BARRA NUTRICIONAL, COMPOSIÇÃO BÁSICA: DE FLOCOS DE CEREAIS , INGREDIENTES ADICIONAIS: FRUTAS SECAS E MEL ",0.0375910832443301
445485,"Água mineral sem gás retornável","median_preco","217096","VINAGRE, MATÉRIA-PRIMA: ÁLCOOL CANA DE AÇÚCAR , TIPO: NEUTRO , ACIDEZ: 4,20 PER, ASPECTO FÍSICO: LÍQUIDO , ASPECTO VISUAL: LÍMPIDO E SEM DEPÓSITOS ",0.0347092303603291
445485,"Água mineral sem gás retornável","median_preco","249818","VINAGRE, MATÉRIA-PRIMA: VINHO BRANCO , TIPO: NEUTRO , ACIDEZ: 4 PER, ASPECTO FÍSICO: LÍQUIDO , ASPECTO VISUAL: LÍMPIDO E SEM DEPÓSITOS ",0.0326418958126072
445485,"Água mineral sem gás retornável","median_preco","460263","FARINHA DE TRIGO, GRUPO: DOMÉSTICO , TIPO: TIPO 1, ESPECIAL , INGREDIENTE ADICIONAL: FORTIFICADA COM FERRO E ÁCIDO FÓLICO ",0.0278884458207436
445485,"Água mineral sem gás retornável","median_preco","217785","REFRIGERANTE, MATERIAL: ÁGUA GASOSA/XAROPE , SABOR: GUARANÁ ",0.027783487121391
445485,"Água mineral sem gás retornável","median_preco","463764","LEGUME IN NATURA, TIPO: BERINJELA ",0.0259149855766937
445485,"Água mineral sem gás retornável","median_preco","460265","FARINHA DE TRIGO, GRUPO: DOMÉSTICO , TIPO: TIPO 1, ESPECIAL , INGREDIENTE ADICIONAL: COM FERMENTO, FORTIFICADA COM FERRO E ÁCIDO FÓLICO ",0.017560583023428
445485,"Água mineral sem gás retornável","median_preco","458910","ARROZ BENEFICIADO, TIPO: PARBOILIZADO , SUBGRUPO: INTEGRAL , CLASSE: LONGO FINO , QUALIDADE: TIPO 1 ",0.00558327067702878
445485,"Água mineral sem gás retornável","median_preco","464410","FRUTA, TIPO: MANGA ROSA , APRESENTAÇÃO: NATURAL ",0.0042877939116567
445485,"Água mineral sem gás retornável","median_preco","445479","ÁGUA MINERAL NATURAL, TIPO: COM GÁS , MATERIAL EMBALAGEM: PLÁSTICO , TIPO EMBALAGEM: DESCARTÁVEL ",0.00312715205953733
445485,"Água mineral sem gás retornável","median_preco","217777","GELO, MATERIAL: ÁGUA FILTRADA , APRESENTAÇÃO: CUBOS ",0.00257931757076382
